start_date,end_date,cost_center,project,user,resource_type,cost,usage_hours
2025-04-23,2025-05-22,ENG,PROJ003,bob.smith,network,4539.64,217
2025-04-23,2025-05-22,MKT,PROJ005,grace.lee,storage,1601.57,340
2025-04-23,2025-05-22,MKT,PROJ004,iris.chen,cache,7391.85,15
2025-04-23,2025-05-22,SAL,PROJ004,emma.wilson,storage,15239.35,31
2025-04-23,2025-05-22,MKT,PROJ003,iris.chen,network,366.24,332
2025-04-23,2025-05-22,SAL,PROJ004,john.taylor,compute,5463.85,708
2025-04-23,2025-05-22,OPS,PROJ003,carol.davis,database,1809.22,410
2025-04-23,2025-05-22,ENG,PROJ005,grace.lee,database,1935.99,232
2025-04-23,2025-05-22,OPS,PROJ001,alice.johnson,network,749.94,241
2025-04-23,2025-05-22,ENG,PROJ005,david.miller,compute,609.52,196
2025-04-23,2025-05-22,SAL,PROJ002,grace.lee,compute,4143.83,142
2025-04-23,2025-05-22,ENG,PROJ005,john.taylor,cache,818.79,641
2025-04-23,2025-05-22,SAL,PROJ002,john.taylor,database,1682.88,14
2025-04-23,2025-05-22,OPS,PROJ004,emma.wilson,ml-service,1089.67,530
2025-04-23,2025-05-22,SAL,PROJ001,emma.wilson,database,136.14,626
2025-04-23,2025-05-22,FIN,PROJ003,emma.wilson,network,370.42,637
2025-04-23,2025-05-22,ENG,PROJ004,david.miller,cache,1442.44,604
2025-04-23,2025-05-22,MKT,PROJ002,emma.wilson,storage,624.13,401
2025-04-23,2025-05-22,MKT,PROJ004,bob.smith,network,11457.54,370
2025-04-23,2025-05-22,FIN,PROJ001,henry.white,ml-service,8290.99,343
2025-04-23,2025-05-22,OPS,PROJ005,john.taylor,network,885.1,660
2025-04-23,2025-05-22,FIN,PROJ005,carol.davis,storage,807.46,468
2025-04-23,2025-05-22,FIN,PROJ005,john.taylor,network,5528.25,684
2025-04-23,2025-05-22,ENG,PROJ005,bob.smith,compute,1551.02,206
2025-04-23,2025-05-22,ENG,PROJ004,frank.brown,network,479.85,277
2025-04-23,2025-05-22,ENG,PROJ001,carol.davis,network,252.16,224
2025-04-23,2025-05-22,FIN,PROJ002,bob.smith,storage,4292.81,628
2025-04-23,2025-05-22,OPS,PROJ002,david.miller,ml-service,6237.06,344
2025-04-23,2025-05-22,OPS,PROJ002,carol.davis,storage,1576.33,527
2025-04-23,2025-05-22,MKT,PROJ005,henry.white,compute,263.18,88
2025-04-23,2025-05-22,MKT,PROJ004,emma.wilson,compute,2213.58,689
2025-04-23,2025-05-22,SAL,PROJ003,henry.white,database,478.17,289
2025-04-23,2025-05-22,ENG,PROJ004,carol.davis,compute,655.62,566
2025-04-23,2025-05-22,FIN,PROJ003,alice.johnson,cache,14284.85,637
2025-04-23,2025-05-22,SAL,PROJ004,henry.white,cache,7195.02,24
2025-04-23,2025-05-22,SAL,PROJ003,grace.lee,storage,3105.84,16
2025-04-23,2025-05-22,MKT,PROJ001,alice.johnson,cache,3298.06,303
2025-04-23,2025-05-22,FIN,PROJ003,grace.lee,storage,10724.12,612
2025-04-23,2025-05-22,OPS,PROJ005,grace.lee,ml-service,2839.14,430
2025-04-23,2025-05-22,OPS,PROJ005,carol.davis,ml-service,224.36,578
2025-04-23,2025-05-22,SAL,PROJ004,henry.white,storage,20805.22,396
2025-04-23,2025-05-22,OPS,PROJ001,frank.brown,compute,1109.47,147
2025-04-23,2025-05-22,SAL,PROJ003,david.miller,compute,664.96,334
2025-04-23,2025-05-22,FIN,PROJ005,bob.smith,cache,488.07,103
2025-04-23,2025-05-22,OPS,PROJ005,frank.brown,database,12374.41,479
2025-04-23,2025-05-22,FIN,PROJ003,frank.brown,ml-service,3991.78,489
2025-04-23,2025-05-22,SAL,PROJ001,grace.lee,compute,5105.65,373
2025-04-23,2025-05-22,OPS,PROJ004,bob.smith,cache,18704.32,464
2025-04-23,2025-05-22,OPS,PROJ002,henry.white,cache,1029.07,79
2025-04-23,2025-05-22,SAL,PROJ001,frank.brown,network,25290.55,471
2025-04-23,2025-05-22,MKT,PROJ003,henry.white,ml-service,311.84,479
2025-04-23,2025-05-22,FIN,PROJ004,henry.white,network,1602.81,317
2025-04-23,2025-05-22,MKT,PROJ005,henry.white,compute,1644.99,250
2025-04-23,2025-05-22,OPS,PROJ005,grace.lee,compute,13367.01,286
2025-04-23,2025-05-22,MKT,PROJ005,grace.lee,compute,3398.77,697
2025-04-23,2025-05-22,ENG,PROJ004,grace.lee,compute,6650.94,335
2025-04-23,2025-05-22,MKT,PROJ004,bob.smith,ml-service,4844.71,187
2025-04-23,2025-05-22,MKT,PROJ001,carol.davis,storage,600.45,224
2025-04-23,2025-05-22,OPS,PROJ004,iris.chen,compute,1081.75,202
2025-04-23,2025-05-22,MKT,PROJ003,david.miller,ml-service,233.01,277
2025-04-23,2025-05-22,OPS,PROJ003,emma.wilson,storage,10947.96,679
